"","participants","SIC_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_SIC_code","alliance_nation","status","type","ownership_structure","deal_number"
"21692","MIMOSA NETWORKS","3663","2016-11-03","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","MIMOSA NETWORKS INC/SEC DATACOM A/S-STRATEGIC ALLIANCE","4812","Denmark~Sweden~Finland","Completed/Signed","Strategic Alliance",NA,3032440045
"21754","AD DIGITAL","3571","2016-11-07","","Multi-media company","Brazil","APPTEK PARTNERS LLC/AD DIGITAL-STRATEGIC ALLIANCE","3571","Brazil","Completed/Signed","Strategic Alliance",NA,3036184045
"21834","TLCOMMUNICATION DE L'EST","4812","2016-11-08","","Wired Telecommunications Carriers","Canada","TLCOMMUNICATIONS DE L'EST/SIMOCO GROUP-STRATEGIC ALLIANCE","4899","Canada","Completed/Signed","Strategic Alliance",NA,3036168045
"21835","SIMOCO GROUP","4812","2016-11-08","","Wired Telecommunications Carriers","United Kingdom","TLCOMMUNICATIONS DE L'EST/SIMOCO GROUP-STRATEGIC ALLIANCE","4899","Canada","Completed/Signed","Strategic Alliance",NA,3036168045
"21917","ZAIN BAHRAIN BSCC","4812","2016-11-09","","Wired Telecommunications Carriers","Bahrain","ICFLIX/ZAIN BAHRAIN BSCC-STRATEGIC ALLIANCE","3571","Utd Arab Em","Completed/Signed","Strategic Alliance",NA,3041464045
"21941","DEINHANDY","4812","2016-11-09","","Provide wireless telecom svcs","Germany","DRILLISCH AG/DEINHANDY GMBH-STRATEGIC ALLIANCE","4812","Germany","Completed/Signed","Strategic Alliance",NA,3036731045
"21968","SOFTBANK GROUP ","4812","2016-11-10","","Wireless Telecommunications Carriers (Except Satellite)","Japan","SOFTBANK GROUP CORP/ZIMPERIUM INC-STRATEGIC ALLIANCE","7372","Japan","Completed/Signed","Strategic Alliance",NA,3039770045
"21985","NATIONAL SOURCE AV","3571","2016-11-10","","Multi-media company","Canada","NATIONAL SOURCE AV INC/CLEARONE INC-STRATEGIC ALLIANCE","3669","Supranational","Completed/Signed","Strategic Alliance",NA,3039031045
"22190","BEELINE","4812","2016-11-16","","Provide telecommunications svcs","Uzbekistan","BEELINE/TELENOR ASA-STRATEGIC ALLIANCE","4812","Norway","Completed/Signed","Strategic Alliance",NA,3040706045
"22191","TELENOR ASA","4812","2016-11-16","","Provide mobile communication services","Norway","BEELINE/TELENOR ASA-STRATEGIC ALLIANCE","4812","Norway","Completed/Signed","Strategic Alliance",NA,3040706045
"22197","RAKUTEN COMMUNICATION ","4812","2016-11-16","","Provide telecommunications svcs","Japan","CAFEX COMMUNICATIONS INC/RAKUTEN COMMUNICATIONS CO LTD-STRATEGIC ALLIANCE","8742","Japan","Completed/Signed","Strategic Alliance",NA,3040763045
"22267","SAMSUNG ELECTRONIC ","3663","2016-11-17","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","SAMSUNG ELECTRONICS CO LTD/QUALCOMM TECHNOLOGIES INC-STRATEGIC ALLIANCE","7371","South Korea","Completed/Signed","Strategic Alliance",NA,3044802045
"22347","SLA DIGITAL","4812","2016-11-21","","Provide telecommunications svcs","United Kingdom","YUPPTV INC/SLA DIGITAL-STRATEGIC ALLIANCE","7375","United States","Completed/Signed","Strategic Alliance",NA,3039950045
"22372","MGM CONSUMER PRODUCTS","3571","2016-11-21","","Multi-media company","United States","MGM CONSUMER PRODUCTS/ANTONIO CUE/MIGUEL ALEMAN-JOINT VENTURE","7812","United States","Completed/Signed","Joint Venture",NA,3039819045
"22397","VU2VU IRELAND","4812","2016-11-21","","Pvd telecommunications svcs","Ireland-Rep","VU2VU IRELAND LTD/LAMHAS SATELLITE SERVICES-STRATEGIC ALLIANCE","7822","India","Completed/Signed","Strategic Alliance",NA,3039813045
"22398","LAMHAS SATELLITE SERVICE","4812","2016-11-21","","Provide telecommunications svcs","India","VU2VU IRELAND LTD/LAMHAS SATELLITE SERVICES-STRATEGIC ALLIANCE","7822","India","Completed/Signed","Strategic Alliance",NA,3039813045
"22477","VODAFONE HOLDING","4812","2016-11-22","","Pvd telecommunications svcs","Turkey","VODAFONE HOLDING AS/DHL INTERNATIONAL GMBH-STRATEGIC ALLIANCE","4213","Turkey","Completed/Signed","Strategic Alliance",NA,3041426045
"22501","LEVIRA AZ","4812","2016-11-22","","Provide telecommunications svcs","Estonia","LEVIRA AZ/JELASTIC INC-STRATEGIC ALLIANCE","4812","Estonia","Completed/Signed","Strategic Alliance",NA,3041964045
"22512","SIEMENS","3663","2016-11-22","","Manufactures and wholesales telecommunications equipment","Germany","ELMO SOLUTIONS INC/SIEMENS AG-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,3041456045
"22547","SIEMENS","3663","2016-11-24","","Manufactures and wholesales telecommunications equipment","Germany","SIEMENS AG/SIEMENS PTE LTD-STRATEGIC ALLIANCE","8711","Singapore","Completed/Signed","Strategic Alliance",NA,3042918045
"22548","SIEMENS","3663","2016-11-24","","Mnfr,whl electn prod,equipment","Singapore","SIEMENS AG/SIEMENS PTE LTD-STRATEGIC ALLIANCE","8711","Singapore","Completed/Signed","Strategic Alliance",NA,3042918045
"22644","ROBI AXIATA","4812","2016-11-29","","Provide wireless telecom svcs","Bangladesh","EASTERN BANK LTD/ROBI AXIATA LTD-STRATEGIC ALLIANCE","4812","Bangladesh","Completed/Signed","Strategic Alliance",NA,3043110045
"22688","BATELCO","4812","2016-11-29","","Pvd telecommunications services","Bahrain","BAHRAIN TELECOMMUNICATIONS CO BSC/DIYAR AL MUHARRAQ WLL-STRATEGIC ALLIANCE","6798","Bahrain","Completed/Signed","Strategic Alliance",NA,3043753045
"22736","BEIJING FUHUA YUQI INFO TECH","3663","2016-11-30","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","China","BEIJING FUHUA YUQI INFORMATION/ZTE CORP-JOINT VENTURE","7375","China","Completed/Signed","Joint Venture",50,3044855045
"22772","MEGAFON PAO","4812","2016-12-01","","Wireless Telecommunications Carriers (Except Satellite)","Russian Fed","NATIONAL DIRECT INVESTMENT AGENCY/MEGAFON PAO-STRATEGIC ALLIANCE","7375","Russian Fed","Completed/Signed","Strategic Alliance",NA,3044092045
"22788","HIKARI TSUSHIN","5731","2016-12-01","","Ret electronic device","Japan","ALPHAX FOOD SYSTEM CO LTD/HIKARI TSUSHIN INC-JOINT VENTURE","5812","Japan","Completed/Signed","Joint Venture",49,3044073045
"22847","MEGAFON PAO","4812","2016-12-02","","Wireless Telecommunications Carriers (Except Satellite)","Russian Fed","MEGAFON PAO/RUSSIAN ASSOCIATION OF INDUSTRIAL INTERNET-STRATEGIC ALLIANCE","7375","Russian Fed","Completed/Signed","Strategic Alliance",NA,3044640045
"22980","COMPANHIA DE TELECOMUNICAOES","4812","2016-12-06","","Pvd telecommunication svcs","Macau","COMPANHIA DE TELECOMUNICAOES/MACAU NEW ERA OF PUBLIC BUSES, SA-STRATEGIC~ALLIANCE","4812","Macau","Completed/Signed","Strategic Alliance",NA,3046146045
"23024","FITBIT","3571","2016-12-07","","Manufactures fitness activity products","United States","MEDTRONIC PLC/FITBIT INC-STRATEGIC ALLIANCE","8099","United States","Completed/Signed","Strategic Alliance",NA,3046706045
"23054","SIEMENS","3663","2016-12-07","","Manufactures and wholesales telecommunications equipment","Germany","SIEMENS AG/CHROMALLOY GAS TURBINE LLC-JOINT VENTURE","3999","United States","Completed/Signed","Joint Venture",NA,3046173045
"23097","JT GROUP","4812","2016-12-08","","Pvd telecommunications svcs","Jersey","JT GROUP LTD/FON WIRELESS LTD-STRATEGIC ALLIANCE","7375","Jersey","Completed/Signed","Strategic Alliance",NA,3046724045
"23098","FON WIRELESS","4812","2016-12-08","","Pvd telecommunications svcs","Spain","JT GROUP LTD/FON WIRELESS LTD-STRATEGIC ALLIANCE","7375","Jersey","Completed/Signed","Strategic Alliance",NA,3046724045
"23106","GLOBALSTAR","4812","2016-12-08","","Pvd voice,data svcs","United States","VEHICLE TRACKING SOLUTIONS LLC/GLOBALSTAR INC-STRATEGIC ALLIANCE","4899","United States","Completed/Signed","Strategic Alliance",NA,3046736045
"23108","SOFIA CONNECT EOOD","4812","2016-12-08","","Wired Telecommunications Carriers","Bulgaria","MEGAPORT LTD/SOFIA CONNECT EOOD-STRATEGIC ALLIANCE","7371","United Kingdom","Completed/Signed","Strategic Alliance",NA,3046692045
"23111","TELENOR ASA","4812","2016-12-08","","Provide mobile communication services","Norway","TELENOR ASA/VIBER MEDIA LTD-STRATEGIC ALLIANCE","4899","Supranational","Completed/Signed","Strategic Alliance",NA,3048531045
"23115","CHINA TELECOM GLOBAL","4812","2016-12-08","","Wired Telecommunications Carriers","Hong Kong","CHINA TELECOM GLOBAL LTD/NEPAL TELECOM CORP-STRATEGIC ALLIANCE","7375","Nepal","Completed/Signed","Strategic Alliance",NA,3046150045
"23143","BYTE POWER GROUP","3571","2016-12-08","","Mnfr,whl info tech prod","Australia","BYTE POWER GROUP LTD/SHANGHAI HUAHU INFORMATION TECHNOLOGY CO LTD-JOINT~VENTURE","3571","China","Completed/Signed","Joint Venture",NA,3046685045
"23203","WIND HELLAS TELECOMMUN","4812","2016-12-12","","Pvd wireless telecommun svcs","Greece","WIND HELLAS TELECOMMUNICATIONS/TELEFONICA SA-STRATEGIC ALLIANCE","7375","Supranational","Completed/Signed","Strategic Alliance",NA,3047719045
"23209","CELLPOINT MOBILE","4812","2016-12-12","","Pvd wireless telecom svcs","United States","CELLPOINT MOBILE INC/UNDISCLOSED PARTNER-STRATEGIC ALLIANCE","7375","Denmark","Completed/Signed","Strategic Alliance",NA,3047723045
"23213","FILTRONIC","3663","2016-12-12","","Mnfr radio frequency equipment","United Kingdom","FILTRONIC PLC/UNDISCLOSED PARTNER-STRATEGIC ALLIANCE","3999","United Kingdom","Completed/Signed","Strategic Alliance",NA,3047862045
"23239","HUTCHISON 3G UK HOLDING","4812","2016-12-12","","Pvd mobile multimedia svcs","United Kingdom","HUTCHISON 3G UK HOLDINGS LTD/DORO AB-STRATEGIC ALLIANCE","3661","United Kingdom","Completed/Signed","Strategic Alliance",NA,3048670045
"23241","BRANDDELI CV","4812","2016-12-12","","Provide telecommunications svcs","Netherlands","BRANDDELI C.V./SINTECMEDIA LTD-STRATEGIC ALLIANCE","7311","Netherlands","Completed/Signed","Strategic Alliance",NA,3048668045
"23244","SUPER MICRO COMPUTER","3571","2016-12-13","","Mnfr motherboard,server sys","United States","FIBERHOME TELECOMMUNICATION/SUPER MICRO COMPUTER INC-JOINT VENTURE","8711","China","Completed/Signed","Joint Venture",30,3048520045
"23248","BLINKEN EFRONT","3663","2016-12-13","","Manufacturing mobile","Norway","AQERI HOLDING AB/BLINKEN EFRONT AS-STRATEGIC ALLIANCE","3577","Norway","Completed/Signed","Strategic Alliance",NA,3048492045
"23273","LENOVO GROUP","3571","2016-12-13","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/VIA LICENSING CORP-STRATEGIC ALLIANCE","6794","United States","Completed/Signed","Strategic Alliance",NA,3049544045
"23284","IBM ","3571","2016-12-13","","Manufacture computer products","United States","RESPONSETEK NETWORKS CORP/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3048888045
"23312","ORANGE TUNISIE","4812","2016-12-14","","Wired Telecommunications Carriers","Tunisia","ICFLIX MEDIA FZ LLC/ORANGE TUNISIE-STRATEGIC ALLIANCE","7812","Tunisia","Completed/Signed","Strategic Alliance",NA,3049020045
"23366","VIVA ENTERTAINMENT GROUP","3663","2016-12-14","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","VIVA ENTERTAINMENT GROUP INC/FLIXFLING LLC-STRATEGIC ALLIANCE","5099","United States","Completed/Signed","Strategic Alliance",NA,3049104045
"23400","INTERDIGITAL","3663","2016-12-15","","Manufacture wireless radio systems","United States","INTERDIGITAL INC PA/APPLE INC-STRATEGIC ALLIANCE","4899","United States","Completed/Signed","Strategic Alliance",NA,3050392045
"23401","APPLE","3571","2016-12-15","","Electronic Computer Manufacturing","United States","INTERDIGITAL INC PA/APPLE INC-STRATEGIC ALLIANCE","4899","United States","Completed/Signed","Strategic Alliance",NA,3050392045
"23412","TCL COMMUNICATION TECHNOLOGY","3663","2016-12-15","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","Hong Kong","BLACKBERRY LTD/TCL COMMUNICATION TECHNOLOGY HOLDINGS LTD-STRATEGIC~ALLIANCE","7382","Canada","Completed/Signed","Strategic Alliance",NA,3050354045
"23422","IDEA CELLULAR","4812","2016-12-15","","Provides telecommunication services","India","HITACHI SUNWAY INFORMATION SYSTEMS SDN BHD/IDEA CELLULAR LTD-STRATEGIC~ALLIANCE","4812","India","Completed/Signed","Strategic Alliance",NA,3050420045
"23429","ROGERS COMMUNICATION","4812","2016-12-16","","Diversified communications and media company","Canada","ROGERS COMMUNICATIONS INC/COMCAST CORP-STRATEGIC ALLIANCE","3571","Canada","Completed/Signed","Strategic Alliance",NA,3051074045
"23467","PROFESSIONAL COMMUN ","4812","2016-12-18","","Wired Telecommunications Carriers","Utd Arab Em","PROFESSIONAL COMMUNICATION CORP/NOKIA OYJ-STRATEGIC ALLIANCE","4812","Utd Arab Em","Completed/Signed","Strategic Alliance",NA,3052336045
"23468","NOKIA OYJ","3663","2016-12-18","","Mnfr network infrastructure products","Finland","PROFESSIONAL COMMUNICATION CORP/NOKIA OYJ-STRATEGIC ALLIANCE","4812","Utd Arab Em","Completed/Signed","Strategic Alliance",NA,3052336045
"23528","TRIDENT SUBSEA CABLE","4812","2016-12-20","","Wired Telecommunications Carriers","Australia","TRIDENT SUBSEA CABLE PTY LTD/PT KETROSDEN TRIASMITRA INC-STRATEGIC~ALLIANCE","4841","Supranational","Completed/Signed","Strategic Alliance",NA,3054157045
"23589","US TELEPACIFIC ","4812","2016-12-21","","Provides telecommunications services","United States","US TELEPACIFIC CORP/PLANETONE COMMUNICATIONS INC-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,3054061045
"23590","PLANETONE COMMUNICATION","4812","2016-12-21","","Telecommunications Resellers","United States","US TELEPACIFIC CORP/PLANETONE COMMUNICATIONS INC-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,3054061045
"23683","SOFIA CONNECT EOOD","4812","2016-12-23","","Wired Telecommunications Carriers","Bulgaria","SOFIA CONNECT EOOD/NETWORX BULGARIA LTD-STRATEGIC ALLIANCE","4812","Bulgaria","Completed/Signed","Strategic Alliance",NA,3054080045
"23684","NETWORX BULGARIA EEOD","4812","2016-12-23","","Provide telecommunications svcs","Bulgaria","SOFIA CONNECT EOOD/NETWORX BULGARIA LTD-STRATEGIC ALLIANCE","4812","Bulgaria","Completed/Signed","Strategic Alliance",NA,3054080045
"23721","GIONEE COMMUN EQUIP SHENZHEN","3663","2016-12-26","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","China","QUALCOMM INC/GIONEE COMMUNICATION EQUIPMENT SHENZHEN CO LTD-STRATEGIC~ALLIANCE","6794","China","Completed/Signed","Strategic Alliance",NA,3054229045
"23755","TRUE INCUBE ","4812","2016-12-28","","Wireless Telecommunications Carriers (Except Satellite)","Thailand","AXION VENTURES INC/TRUE INCUBE CO LTD-JOINT VENTURE","7372","Thailand","Completed/Signed","Joint Venture",40,3054710045
